,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
9356,Default Open L,Newsboy Hat,Green Varsity Jacket,Bland,Silver,Default,Long Twintail,Dark,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,40.47150962770232,9357
9357,None,None,Dark Formal Shirt,Grin,Green,Dark,Messy,Red,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,13.805457802659499,9358
9358,Dark Hand Palm,None,Open Vest,Mask,Blue,Dark,Two Block,Navy,None,None,None,None,None,None,None,Corrupted Skulls,None,None,Knife,None,None,None,44.537113805569106,9359
9359,None,None,Blood Gaiden,Meh,Black,Pale,Twin Bun,Off White,None,None,None,None,Demon Horn,None,None,None,None,None,None,None,None,None,21.6704531419316,9360
9360,None,None,White Yukata Varsity,Mask,Closed,Dark,Short Spiky,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.4397250527976094,9361
9361,None,None,White Haus T-Shirt,Face Mask,Pink,Dark,Straight Headband,Dark,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,13.79497677481282,9362
9362,Dark Hand Face,None,Techno Biker,Open,Blue,Dark,Long Fringe,Navy,None,None,Sheathed Katana,None,None,Fangs,None,None,None,None,None,None,None,None,40.605305036523696,9363
9363,None,None,Light Edge Jacket,Face Mask,Black,Demon,Messy,Purple,None,None,None,None,None,None,None,None,Crow,None,None,None,None,None,21.074424122680433,9364
9364,Default Hold,None,Bikini,Grunt,Pink,Default,Braided Bun,Purple,None,None,None,None,None,None,None,Swords,None,None,None,Broken Arrow,None,None,43.10037330957412,9365
9365,None,None,Blazer,Mask,Hazel,Fiend,Long Twintail,White,Ambers,None,Dark Sheathed Katana,None,Demon Horn,None,None,None,None,None,None,None,None,None,48.58857999773541,9366
9366,None,None,MURI Hoodie,Pout,Blue,Pale,Shag,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,15.63719371701611,9367
9367,None,None,Open Jacket,Pout,Eye Cover,Demon,Academy,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.260087955865271,9368
9368,None,Badges Cap,Brown Formal Dress,A,Pink,Fiend,Bob,Red,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,30.786250624288158,9369
9369,Default Hand ETH,Spacehelm,Black Haus T-Shirt,Mumble,Black,Default,Bob,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25.193288117550793,9370
9370,Default Hand ETH,Badges Cap,Black Haus T-Shirt,A,Blue,Default,Bangs Short,Dark,None,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,36.70660323391047,9371
9371,Default Hand Palm,None,Orange Open Jacket,Open,Silver,Default,Straight Headband,Light Purple,Ambers,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,44.10635656905259,9372
9372,None,None,Dark Haus Denim,Grunt,Closed,Dark,Slick Back,Blue,None,Blood Mark,Ninjato,None,None,None,None,Quiver,None,None,None,None,None,None,41.216390655883025,9373
9373,None,None,Light Edge Jacket,Grin,Blue,Dark,Two Block,Off White,Chains,None,None,None,None,None,Dice,None,None,None,None,None,None,None,33.751957386418816,9374
9374,Darker Hand ETH,HAUS Cap,Yakuza Yukata,Grunt,Black,Darker,Long Locks,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27.455553761807128,9375
9375,None,None,Violet Gown,Bubblegum,Silver,Demon,Hime Cut,Green Gray,None,Clear Glasses,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,32.17977621748064,9376
9376,None,None,Nu Sailor,Bland,Pink,Pale,Long Locks,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.995933879543343,9377
9377,Dark Hand Face,None,Techno Biker,Face Mask,Blue,Dark,Shag,Navy,None,None,None,None,None,Fangs,None,Wolves,None,None,None,None,None,None,44.53885892705488,9378
9378,None,None,Red Jeans Hoodie,Grin,Pink,Darker,Short Spiky,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.026828836389412,9379
9379,None,None,Black Haus Hoodie,Grunt,Pink,Fiend,Shag,Dark,None,None,None,None,None,None,Cross,None,None,None,None,None,None,None,21.79386695900532,9380
9380,Default Hand ETH,None,Techno Biker,Open,Pink,Default,Spiky,Light Purple,None,None,Great Sword,None,None,None,None,None,RDBP Duck,None,None,None,None,None,39.420566366168224,9381
9381,Default Hand ETH,None,Dark Jeans Hoodie,Face Mask,Lavender Sunrise,Default,Shag,Light Purple,None,Sunglasses,None,None,Side Mask,None,None,None,RDBP Duck,None,None,None,None,None,59.9618335006626,9382
9382,Default Hand ETH,Light HAUS Cap,Blood Gaiden,Mask,Silver,Default,Long Side Swept,Blue,None,None,Red Excalibur,None,None,None,Dice,None,None,None,None,None,None,None,51.13958473555187,9383
9383,None,None,Green Yakuza Yukata,Mumble,Hazel,Demon,Twin Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.265983398578262,9384
9384,Pale Open R,None,Red Trainer,Grin,Blue,Pale,Two Block,White,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,32.989777815879215,9385
9385,None,None,Black Victorian Blazer,Face Mask,Void,Fiend,Clean,Dark,None,None,None,None,None,None,None,Tomoe,None,None,None,None,None,None,22.336079081990924,9386
9386,None,None,Green Open Vest,Big Smile,Void,Dark,Messy,White,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,17.873499806432946,9387
9387,None,None,Shadow Gaiden,Grunt,Red,Darker,Bun,White,None,None,None,None,Goggles,None,None,Evil Wings,None,None,None,None,None,None,34.658987112372415,9388
9388,None,Agent Hat,Navy Haus T-Shirt,Grin,Silver,Demon,Bangs Short,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16.704091390252888,9389
9389,None,None,Black Haus T-Shirt,Hmm,Hazel,Demon,Straight Headband,Green Gray,None,None,None,None,None,None,Dice,None,None,None,None,None,None,None,21.166528602152955,9390
9390,Dark Hold,None,Rebel,A,Green,Dark,Bowl Cut,White,None,None,Excalibur,None,Goggles,None,ETH,None,None,None,None,Handgun,None,None,72.09443809242921,9391
9391,Default Open L,None,Metal,Face Mask,Black,Default,Clean,Blue,None,None,Red Sheathed Katana,phase.module [a globe is rolling] v0.03,None,None,None,None,RDBP Duck,None,None,None,None,None,53.22596283703561,9392
9392,None,None,Edge Jacket,Open,Closed,Darker,Short Spiky,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.441178251190481,9393
9393,Default Hand ETH,None,Winter Camo,Hmm,Red,Default,Messy,Blue,None,Splatter,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,36.26349349516268,9394
9394,None,None,Winter Camo,Censored,Red,Dark,Clean,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.870044924047672,9395
9395,None,Light HAUS Cap,White Asian Top,Mumble,Closed,Pale,Twin Bun,Blue,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,31.24489523345509,9396
9396,None,None,Light Open Jacket,Smile,Green,Dark,Short Spiky,Green Gray,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,16.651807480461077,9397
9397,Default Hand ETH,None,Victorian Blazer,Mask,Black,Default,Long Fringe,Light Purple,None,None,Great Sword,None,None,None,None,None,Headphone,None,None,None,None,None,39.300655318620024,9398
9398,Default Open R,Bucket Hat,Blue Varsity Jacket,A,Silver,Default,Two Block,Purple,None,None,None,None,None,None,None,None,None,Compass,None,None,None,None,42.42457723770717,9399
9399,Dark Open L,None,Red Koi Tees,Meh,Green,Dark,Long Locks,Green Gray,None,Browline Glasses,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,42.67983756296974,9400
9400,Default Open L,None,Black Varsity Jacket,Mask,Pink,Default,Messy,Light Purple,None,None,Red Tech Sword,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,39.356117015357775,9401
9401,Default Open L,None,Green Varsity Jacket,A,Closed,Default,Twin Bun,Navy,None,None,None,Flame,Dark Side Mask,None,None,None,None,None,None,None,None,None,43.42874149084411,9402
9402,Default Hold,None,Skelly Jacket,Grunt,Red,Default,Braided Bun,Green Gray,None,None,None,None,None,None,None,None,None,None,None,Card,None,None,27.83955592276944,9403
9403,None,None,Red Haus Hoodie,Mumble,Silver,Demon,Slick Back,Blue,None,None,Ninjato,None,None,None,None,None,None,None,None,None,None,None,15.107140444851588,9404
9404,None,Light HAUS Cap,Dark Haus Denim,Hmm,Red,Demon,Clean,Green Gray,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,32.84000228632538,9405
9405,None,Blue Cap,Trainer,Mask,Pink,Darker,Short Spiky,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.25318890878138,9406
9406,Default Hold,Light HAUS Cap,Koi Tees,A,Silver,Default,Bun,Dark,None,None,None,None,None,None,None,Wind,None,None,None,Soda,None,None,56.33244724934908,9407
9407,None,None,Red Asian Top,Pout,Silver,Fiend,Bangs Short,Off White,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,17.545285710072665,9408
9408,Default Hand Face,Bucket Hat,Mono Demon Maiden,Biting Lips,Blue,Default,Academy,Purple,None,None,None,None,None,Fangs,None,Red Swords,None,None,None,None,None,None,57.6667355806159,9409
9409,None,Hat,Rebel,Smile,Closed,Dark,Spiky,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.106988807848426,9410
9410,Dark Hand Palm,None,White Leather Coat,A,Blue,Dark,Long Fringe,Off White,None,None,None,None,Bow,None,None,None,None,None,Cutter,None,None,None,44.995749215107864,9411
9411,None,None,Techno Biker,Grunt,Red,Darker,Short Spiky,Red,None,Blood Mark,M4,None,Bow,None,None,None,None,None,None,None,None,None,45.48892309970757,9412
9412,None,None,Open Jacket,Open,Hazel,Dark,Twin Bun,Green Gray,None,None,Excalibur,None,None,None,None,None,None,None,None,None,None,None,13.932272155155905,9413
9413,None,None,Blue Varsity Jacket,Face Mask,Hazel,Dark,Long Fringe,Blue,None,None,Bazooka,None,None,None,None,None,None,None,None,None,None,None,12.270907130568895,9414
9414,None,Dark Spacehelm,Indigo City Assassin,Open,Red,Dark,Long Twintail,Green Gray,None,None,None,None,None,None,None,Gilded Tomoe,None,None,None,None,None,None,30.6816918766393,9415
9415,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Hailey,29.827166148931756,9416
9416,Default Hand Face,HAUS Cap,Green Haus T-Shirt,Open,Closed,Default,Buzz Cut,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24.854531438955206,9417
9417,Default Hand ETH,None,Navy Haus T-Shirt,Open,Closed,Default,Academy,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,21.3217749691697,9418
9418,None,Ushanka,White Haus Hoodie,Face Mask,Closed,Dark,Long Twintail,White,None,None,None,None,None,None,Dice,None,None,None,None,None,None,None,30.890159605947204,9419
9419,Default Open R,None,Edge Jacket,Hmm,Red,Default,Short Fringe,Light Purple,None,Oval Sunglasses,None,None,None,None,None,None,None,Smoke Grenade,None,None,None,None,43.62864944673666,9420
9420,None,None,Blue Varsity Jacket,Pout,Blue,Pale,Bowl Cut,White,None,None,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,21.42369208560224,9421
9421,Default Hand Palm,None,Rebel,Grunt,Silver,Default,Shag,Blue,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,27.134024716310197,9422
9422,Darker Hand Palm,None,Side Shirt,Big Smile,Pink,Darker,None,Green Gray,None,Mark,None,None,None,None,None,None,Crow,None,Cutter,None,Black Mecha,None,78.36025125237856,9423
9423,Default Hand ETH,None,Black Koi Tees,Hmm,Red,Default,Long Flowy Locks,Red,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,23.546026181334582,9424
9424,None,None,Green Varsity Jacket,A,Pink,Darker,Long Twintail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.137721768748404,9425
9425,Dark Hand Face,None,Trainer,Open,Black,Dark,Braided Bun,Purple,None,None,Tech Sword,None,None,Silence,Cross,None,None,None,None,None,None,None,56.62246267872973,9426
9426,None,None,Red Jeans Hoodie,Big Smile,Red,Dark,Messy,Blue,None,Mark,Machete,None,None,None,Cross,None,None,None,None,None,None,None,42.46214960708117,9427
9427,None,None,Streetsuit,Grunt,Black,Demon,Messy,Green Gray,None,None,None,None,None,None,None,Dagger Rune,Dark Headphone,None,None,None,None,None,35.988343634699426,9428
9428,None,Bucket Hat,Indigo City Assassin,Face Mask,Blue,Dark,Academy,Blue,White Petals,Boston Glasses,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,55.21477882078237,9429
9429,None,None,Black Haus T-Shirt,Hmm,Void,Dark,Hime Cut,White,None,None,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,19.22881693157935,9430
9430,Default Hand Face,Light HAUS Cap,Black Koi Tees,Grin,Green,Default,Straight Headband,White,None,None,Bat,None,None,Fangs,None,None,RDBP Duck,None,None,None,None,None,68.67405023610723,9431
9431,None,None,Blue Varsity Jacket,Pout,Void,Fiend,Slick Back,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.998707549018766,9432
9432,None,None,Light Open Jacket,Meh,Green,Dark,Short Fringe,Purple,None,None,None,None,Side Mask,None,None,None,None,None,None,None,None,None,18.130525385893023,9433
9433,None,None,Sky Haus Hoodie,Grunt,Black,Dark,Slick Back,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1567647878839176,9434
9434,Pale Open R,None,Male Yukata,Big Smile,Hazel,Pale,Bowl Cut,Red,None,None,None,None,Gas Mask,None,None,None,None,Bitten Apple,None,None,None,None,48.764362157533455,9435
9435,None,Light HAUS Cap,Edge Camo Jacket,Pout,Black,Darker,Spiky,Light Purple,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,28.563716191644428,9436
9436,None,None,Red Asian Top,Bubblegum,Red,Dark,Bun,Navy,None,None,Great Sword,None,Goggles,None,None,Dark Oni Head,None,None,None,None,None,None,45.80505975341756,9437
9437,None,None,Red Drive,Grin,Cocoa Gray,Dark,Messy,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.26489816862448,9438
9438,None,None,Blue Bulletproof T-Shirt,Censored,Hazel,Dark,Slick Back,Green Gray,None,Clear Glasses,None,None,None,None,None,None,Crow,None,None,None,None,None,33.48092435779238,9439
9439,Demon Open L,None,Yellow Trainer,Open,Red,Demon,Spiky,Blue,None,Browline Glasses,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,43.78665910345962,9440
9440,None,None,Gate Guardian,Hmm,Blue,Dark,Buzz Cut,Purple,Cash,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,29.494956691036677,9441
9441,Default Hold,None,Brown Formal Dress,Hmm,Green,Default,Twin Bun,Off White,None,None,Excalibur,None,None,None,None,None,None,None,None,Handgun,None,None,39.3631206490644,9442
9442,Dark Hand ETH,None,Black Victorian Blazer,Smile,Green,Dark,Long Fringe,Blue,None,None,M4X,None,None,None,None,None,None,None,None,None,None,None,22.765603559931826,9443
9443,None,None,Side Shirt,Open,Green,Pale,Long Locks,Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.997694483142237,9444
9444,None,Bandana,Light Edge Jacket,Grunt,Black,Dark,Two Block,Light Purple,None,Boston Glasses,AK,None,None,None,Dice,None,None,None,None,None,None,None,57.27875037633292,9445
9445,None,None,Woodland Camo,Face Mask,Red,Darker,Side Fringe,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.363643375672282,9446
9446,None,None,Dark Blazer,Smile,Pink,Demon,Academy,Green Gray,None,Browline Glasses,None,None,None,None,None,Corrupted Skulls,None,None,None,None,None,None,34.699155090315806,9447
9447,Default Open L,Agent Hat,Dark Blazer,Biting Lips,Blue,Default,Long Side Swept,Light Purple,None,None,Red Tech Sword,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,53.30604649663757,9448
9448,None,None,White Haus T-Shirt,A,Green,Demon,Hime Ponytail,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.085267122997683,9449
9449,None,None,Light Technocoat,Mumble,Pink,Demon,Shag,Light Purple,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,16.94572609823514,9450
9450,None,None,Male Yukata,Meh,Silver,Demon,Side Fringe,Dark,Feathers,Blood Mark,Ninjato,None,None,None,None,None,None,None,None,None,None,None,46.472422963474806,9451
9451,None,None,Green Haus T-Shirt,Bland,Green,Darker,Hime Ponytail,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.5923337764489776,9452
9452,Default Hand ETH,None,Serpent Raider,Face Mask,Pink,Default,Long Flowy Locks,Green Gray,None,None,None,None,None,None,None,Ribcage,Headphone,None,None,None,None,None,42.92497604248932,9453
9453,Default Hand Palm,None,Dark WAGMI Bomber,Mask,Pink,Default,Hime Cut,Light Purple,None,None,None,None,None,None,Rings,None,None,None,Karambit,None,None,None,44.945500942525705,9454
9454,None,None,Brown Street Agent,Big Smile,Cotton Candy,Demon,Long Fringe,Blue,None,Clear Glasses,None,None,None,None,None,None,None,None,None,None,None,None,19.65655021845618,9455
9455,Dark Open L,None,Pretty Half Yukata,Mask,Hazel,Dark,Hime Cut,Green Gray,Icy Wind,None,Katana,phase.module [a globe is rolling] v0.03,None,None,Dot,None,None,None,None,None,None,None,71.24147890628011,9456
9456,None,None,Blue Bulletproof T-Shirt,Grin,Eye Cover,Dark,Clean,Purple,None,None,None,None,None,None,None,Crows,None,None,None,None,None,None,18.846588047652006,9457
